#Finding multiomics studies between 2000/01/01 and 2000/12/31
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]
  Keywords=genomics,lipidomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=genomics,transcriptomics,metagenomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,transcriptomics,phosphoproteomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=genomics,metabolomics,epigenomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+metabolomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=genomics,metabolomics,metagenomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+metabolomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,metabolomics,phosphoproteomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=genomics,epigenomics,metagenomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+epigenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,epigenomics,phosphoproteomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,metagenomics,phosphoproteomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]
  Keywords=lipidomics,proteomics,glycomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+transcriptomics[Other+Term]
  Keywords=lipidomics,proteomics,transcriptomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+metabolomics[Other+Term]
  Keywords=lipidomics,proteomics,metabolomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=lipidomics,proteomics,epigenomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=lipidomics,proteomics,metagenomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=lipidomics,proteomics,phosphoproteomics; From=2000/01/01; To=2000/12/31; IDs=
